aluguel,condominio,iptu,fotos,endereco,description,description_len,features,url
R$ 4.300/mês,Não informado,,10 fotos,"Jardim Panorama, Bauru - SP",,0,"['450m²', '3 quartos', '2 banheiros\n1 suíte', '8 vagas']",https://www.vivareal.com.br/imovel/casa-3-quartos-jardim-panorama-bairros-bauru-com-garagem-450m2-aluguel-RS4300-id-2527030601/
R$ 1.500/mês,R$ 623,R$ 88,17 fotos,"Jardim Estoril, Bauru - SP","Apartamento proximo a Av. Comendador , repleto em armário, contendo 03 dormitórios sendo 01 suíte, sala 02 ambientes com sacada, cozinha, banheiro social, área de serviço e 02 vagas de garagem. -",32,"['91m²', '3 quartos', '2 banheiros\n1 suíte', '2 vagas', 'Elevador', 'Piscina']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-estoril-bairros-bauru-com-garagem-91m2-aluguel-RS1500-id-2527069769/
R$ 1.850/mês,R$ 380,,24 fotos,"Jardim Solange, Bauru - SP","Edifíco entregue em · Lazer completo com churrasqueira, forno de pizza, piscina com prainha, fitness center, playground, espaço gourmet. · Pré instalação para split cooler. · Instalação CFTV · Medições individuais de água e gás · Ampla varanda gourmet nos apartamentos · Sistema de retenção e reuso de água de chuvas para jardim. · Janelas com venezianas integradas, acionadas eletricamente. · Infraestrutura para instalação de energia heólica nas áreas comuns.",70,"['71m²', '2 quartos', '2 banheiros\n1 suíte', '2 vagas', 'Playground', 'Circuito de segurança', 'Garagem', 'Espaço gourmet', 'Varanda']",https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-solange-bairros-bauru-com-garagem-71m2-aluguel-RS1850-id-2527100746/
R$ 1.200/mês,Não informado,,7 fotos,"Centro, Bauru - SP",,0,"['90m²', '3 quartos', '1 banheiro', 'Não informado SOLICITAR']",https://www.vivareal.com.br/imovel/casa-3-quartos-centro-bairros-bauru-90m2-aluguel-RS1200-id-2527030602/
R$ 750/mês,R$ 250,,6 fotos,"Jardim Infante Dom Henrique, Bauru - SP","Apartamento de 01 dormitório ao lado do Bauru Shopping, repleto em armário, ar condicionado, sacada, banheiro social e 01 vaga de garagem.
Venha Fazer uma Visita. -",26,"['40m²', '1 quarto', '1 banheiro', '1 vaga', 'Varanda']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-jardim-infante-dom-henrique-bairros-bauru-com-garagem-40m2-aluguel-RS750-id-2527224020/
R$ 5.900/mês,Não informado,,21 fotos,"Samambaia Parque Residencial, Bauru - SP",,0,"['331m²', '3 quartos', '3 banheiros\n1 suíte', '3 vagas', 'Segurança 24h', 'Lavanderia', 'Condomínio fechado', 'Piscina', 'Churrasqueira']",https://www.vivareal.com.br/imovel/casa-de-condominio-3-quartos-samambaia-parque-residencial-bairros-bauru-com-garagem-331m2-aluguel-RS5900-id-2526722624/
R$ 1.300/mês,R$ 540,,21 fotos,"Jardim Infante Dom Henrique, Bauru - SP","RESIDENCIAL OFERECE: SALÃO DE FESTAS, BRINQUEDOTECA , CHURRASQUEIRA E PISCINA.
Próximo ao Bauru Shopping, excelente localização.
1 VAGA DE GARAGEM -",19,"['75m²', '3 quartos', '2 banheiros\n1 suíte', '1 vaga', 'Lavanderia', 'Interfone', 'Piscina', 'Cozinha', 'Elevador']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-jardim-infante-dom-henrique-bairros-bauru-com-garagem-75m2-venda-RS349000-id-2518336836/
R$ 550/mês,R$ 230,,8 fotos,"Vila Nova Cidade Universitaria, Bauru - SP",,0,"['36m²', '1 quarto', '1 banheiro', '1 vaga']",https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-cidade-universitaria-bairros-bauru-com-garagem-36m2-aluguel-RS550-id-2526732795/
R$ 1.300/mês,R$ 450,R$ 850,22 fotos,"Rua Eduardo Vergueiro de Lorena, 5 - Vila Cidade Universitária, Bauru - SP","Três dormitórios completo em armários.
Totalmente reformado: piso porcelanato, revestimento, papel de parede, ventiladores de teto, painéis, etc.
Cozinha com armários, fogão e forno.
Possui jardim, playground, salão de festas e churrasqueira.
CORRETOR VIRGÍLIO- 14 9 9771.7664",33,"['68m²', '3 quartos', '1 banheiro', '1 vaga', 'Playground', 'Lavanderia', 'Salão de festas', 'Condomínio fechado', 'Churrasqueira']",https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-cidade-universitaria-bairros-bauru-com-garagem-68m2-aluguel-RS1300-id-2526704040/
R$ 1.200/mês,Não informado,,15 fotos,"Parque Bauru, Bauru - SP","03 dormitórios
banheiro social
sala de estar
cozinha com gabinete
copa
área de serviço
quintal amplo
garagem para 03 carros
boa localização, perto de mercados, escolas, comércios, ponto de ônibus",22,"['407m²', '3 quartos', '1 banheiro', '3 vagas', 'Quintal', 'Garagem', 'Cozinha', 'Área de serviço']",https://www.vivareal.com.br/imovel/casa-3-quartos-parque-bauru-bairros-bauru-com-garagem-407m2-aluguel-RS1200-id-2526564391/
