n_caracteristicas,metros,quartos,banheiros,vagas,descricao,endereco,y
4,42,2,1,1,0,QUINTA BELA OLINDA,700.0
9,75,2,2,2,37,VILA AVIACAO,2300.0
9,390,4,4,3,9,JARDIM PAULISTA,1900.0
4,47,2,1,1,0,PARQUE,650.0
4,543,9,3,4,0,VILA AEROPORTO,8000.0
4,71,2,2,2,0,JARDIM SOLANGE,1650.0
4,64,3,2,-1,0,JARDIM PANORAMA,1300.0
4,413,4,5,4,0,JARDIM COLONIAL,5500.0
9,69,3,2,2,68,RESIDENCIAL PARQUE GRANJA CECILIA B,1700.0
4,38,1,1,1,0,JARDIM PANORAMA,1100.0
4,120,3,3,2,0,JARDIM PANORAMA,1300.0
9,110,3,4,2,51,VILA NOVA CIDADE UNIVERSITARIA,2200.0
4,75,2,1,1,0,PARQUE VIADUTO,800.0
4,86,3,2,2,0,JARDIM PANORAMA,1900.0
4,94,3,2,2,0,PARQUE JARDIM EUROPA,1800.0
9,135,3,3,2,31,JARDIM PAULISTA,2800.0
9,250,4,4,4,37,RESIDENCIAL VILLAGGIO,5200.0
4,90,3,2,2,0,JARDIM NASRALLA,1000.0
7,180,3,3,1,8,JARDIM ESTORIL,1700.0
4,73,2,2,1,0,VILA CIDADE UNIVERSITARIA,1000.0
9,64,2,2,2,26,VILA SANTA TEREZA,1500.0
4,252,3,5,2,0,RESIDENCIAL VILLA DUMONT,7500.0
4,61,2,1,2,0,JARDIM ROSA BRANCA,1100.0
7,69,2,2,1,49,JARDIM INFANTE DOM HENRIQUE,920.0
4,53,2,1,1,0,VILA SANTA TEREZA,1300.0
7,55,2,1,1,11,VILA CIDADE UNIVERSITARIA,1000.0
4,140,3,1,2,0,CENTRO,1500.0
4,70,2,2,2,0,JARDIM INFANTE DOM HENRIQUE,1900.0
4,35,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,680.0
9,650,6,7,6,50,PARQUE RESIDENCIAL PAINEIRAS,25000.0
9,65,2,1,1,40,VILA CIDADE UNIVERSITARIA,1000.0
4,81,3,2,2,0,VILA AVIACAO,2000.0
9,42,2,2,1,12,VILA ENGLER,650.0
4,42,1,1,1,0,VILA CARDIA,600.0
9,194,3,4,2,85,VILA AVIACAO,4000.0
6,137,3,1,2,21,JARDIM GERSON FRANCA,2000.0
4,112,3,2,2,0,JARDIM INFANTE DOM HENRIQUE,3000.0
8,60,2,1,1,24,JARDIM ESTORIL IV,650.0
4,80,3,2,2,0,JARDIM PANORAMA,1900.0
9,70,2,2,1,36,VILA CIDADE UNIVERSITARIA,1000.0
4,65,2,1,1,0,VILA CIDADE UNIVERSITARIA,1000.0
9,42,1,1,1,22,CENTRO,580.0
4,360,5,1,4,0,PARQUE VISTA ALEGRE,2100.0
4,137,2,1,1,0,PARQUE BOA VISTA,850.0
4,72,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,1000.0
4,90,3,2,2,0,JARDIM INFANTE DOM HENRIQUE,1200.0
4,360,3,4,2,0,VILA AVIACAO,5000.0
4,60,3,2,1,0,JARDIM INFANTE DOM HENRIQUE,1350.0
7,35,1,1,1,26,VILA NOVA CIDADE UNIVERSITARIA,650.0
4,47,2,1,1,0,JARDIM NOVA,450.0
8,90,3,2,2,43,VILA NOVA CIDADE UNIVERSITARIA,1350.0
8,35,1,1,1,24,VILA ALTINOPOLIS,750.0
4,45,1,1,1,0,VILA CARDIA,500.0
4,308,3,2,2,0,VILA AVIACAO,4000.0
4,100,2,1,1,0,VILA SAO JOAO DA BOA VISTA,900.0
4,31,1,1,-1,0,VILA NOVA CIDADE UNIVERSITARIA,750.0
4,35,1,1,1,0,JARDIM REDENTOR,555.0
4,239,3,5,2,0,VILA AVIACAO,5000.0
4,95,3,3,2,0,VILA SANTA TEREZA,1500.0
4,70,3,1,1,0,RESIDENCIAL FRANCISCO LEMOS DE ALMEIDA,650.0
4,182,4,3,2,0,PARQUE JARDIM EUROPA,3000.0
4,50,2,1,-1,0,VILA D'ARO,750.0
4,340,3,2,8,0,VILA CIDADE UNIVERSITARIA,4300.0
4,49,1,1,1,0,CENTRO,580.0
4,52,2,1,1,0,VILA MARACY,1000.0
9,45,2,1,1,22,JARDIM TERRA BRANCA,600.0
5,250,3,3,4,65,JARDIM ESTORIL II,2200.0
7,140,4,2,2,12,VILA ALTINOPOLIS,2100.0
9,155,3,3,-1,30,VILA PACIFICO II,2500.0
8,38,1,1,1,1,JARDIM DONA SARAH,850.0
9,64,2,1,1,69,VILA CARDIA,1600.0
9,91,3,3,2,59,JARDIM AMERICA,1200.0
4,56,2,1,1,0,VILA MARACY,750.0
4,35,1,1,1,0,VILA GUEDES DE AZEVEDO,650.0
4,66,2,2,1,0,JARDIM AMERICA,1200.0
8,70,2,1,2,29,VILA MARTHA,800.0
6,85,2,1,1,30,NUCLEO RESIDENCIAL BEIJAFLOR,1300.0
4,790,3,5,3,0,VILA AEROPORTO,10000.0
4,47,2,1,1,0,JARDIM INFANTE DOM HENRIQUE,1000.0
4,80,3,1,2,0,JARDIM AMERICA,2000.0
4,70,3,1,1,0,PARQUE VIADUTO,550.0
9,240,3,4,3,18,RESIDENCIAL VILLAGGIO,5000.0
9,55,2,1,1,45,JARDIM PANORAMA,850.0
4,85,3,2,-1,0,JARDIM PANORAMA,3500.0
9,300,3,2,6,60,JARDIM CONTORNO,3500.0
9,500,3,3,4,39,JARDIM ESTORIL IV,4500.0
4,879,4,7,6,0,JARDIM SHANGRI LA,10000.0
6,110,3,2,2,1,VILA SANTA TEREZA,2300.0
8,50,2,1,1,15,PARQUE PAULISTA,600.0
9,62,2,2,1,33,JARDIM INFANTE DOM HENRIQUE,1000.0
4,684,4,4,3,0,VILA AEROPORTO,10000.0
4,360,3,3,3,0,JARDIM ESTORIL II,2500.0
4,55,2,2,1,0,VILA SANTA TEREZA,850.0
4,45,1,1,1,0,VILA CARDIA,450.0
5,35,1,1,1,13,VILA NOVA CIDADE UNIVERSITARIA,590.0
9,70,2,2,1,24,VILA SANTA TEREZA,1100.0
4,35,1,1,-1,0,JARDIM OLIMPICO,600.0
4,616,3,4,2,0,RESIDENCIAL VILLAGGIO,6000.0
7,107,4,2,2,1,VILA CIDADE UNIVERSITARIA,1800.0
4,49,1,1,1,0,CENTRO,600.0
9,70,2,2,2,10,JARDIM INFANTE DOM HENRIQUE,1800.0
4,300,3,3,3,0,RESIDENCIAL JARDIM ESTORIL V,3400.0
4,42,1,1,-1,0,CENTRO,500.0
4,62,2,1,1,0,VILA ROCHA,850.0
5,200,2,1,3,6,NUCLEO HABITACIONAL NOBUJI NAGASAWA,950.0
9,95,3,3,2,26,VILA CIDADE UNIVERSITARIA,1750.0
4,54,2,1,1,0,PARQUE RESIDENCIAL DAS CAMELIAS,700.0
4,152,3,4,2,0,VILA CIDADE UNIVERSITARIA,1800.0
4,41,1,1,1,0,VILA AEROPORTO,1500.0
9,65,2,1,1,44,VILA AVIACAO,1750.0
4,30,1,1,1,0,VILA PACIFICO,500.0
6,40,1,1,1,33,VILA ALTINOPOLIS,1700.0
7,138,5,3,6,43,NUCLEO HABITACIONAL MARY DOTA,260000.0
9,50,2,1,2,33,JARDIM BRASIL,1000.0
5,250,2,1,4,48,VILA BONFIM,5000.0
9,70,2,2,2,40,JARDIM INFANTE DOM HENRIQUE,1790.0
4,440,3,3,3,0,JARDIM ESTORIL II,3500.0
4,60,2,1,1,0,JARDIM COLONIAL,1200.0
4,124,3,2,2,0,JARDIM PANORAMA,1400.0
4,68,2,2,2,0,VILA CIDADE UNIVERSITARIA,1300.0
4,66,2,1,2,0,JARDIM IVONE,720.0
4,242,4,3,-1,0,JARDIM BRASIL,3500.0
9,130,3,3,2,43,VILA NOVA CIDADE UNIVERSITARIA,1200.0
6,100,1,1,1,28,VILA DUTRA,650.0
9,65,3,2,1,1,JARDIM PANORAMA,1200.0
9,85,3,3,2,60,VILA SILVA PINTO,1700.0
4,135,3,3,2,0,VILA MESQUITA,1000.0
9,100,3,2,1,21,VILA MARIANA,1200.0
9,86,2,2,1,21,CENTRO,550.0
4,64,2,2,1,0,VILA CARDIA,1300.0
4,309,4,3,4,0,VILA NOVA CIDADE UNIVERSITARIA,3000.0
8,60,2,2,2,23,JARDIM PANORAMA,800.0
4,69,2,2,2,0,RESIDENCIAL PARQUE GRANJA CECILIA B,1600.0
4,70,3,2,1,0,VILA NOVA CIDADE UNIVERSITARIA,1200.0
9,134,3,4,2,19,VILA AVIACAO,4000.0
4,350,4,5,5,0,VILA SAO JOAO DA BOA VISTA,4000.0
4,100,3,1,-1,0,CENTRO,1500.0
5,40,1,1,-1,14,CONJUNTO HABITACIONAL ISAURA PITTA GARMS,450.0
4,196,4,5,2,0,JARDIM ESTORIL IV,2800.0
8,35,1,1,1,30,JARDIM PANORAMA,800.0
4,250,3,2,2,0,VILA ROCHA,1400.0
8,50,2,2,2,26,VILA SAMARITANA,700.0
4,40,1,1,1,0,JARDIM INFANTE DOM HENRIQUE,900.0
9,100,3,4,2,41,VILA MESQUITA,2600.0
9,35,1,1,1,26,VILA CIDADE UNIVERSITARIA,1150.0
8,63,2,1,1,26,JARDIM COLONIAL,1200.0
9,332,3,2,3,42,RESIDENCIAL VILLAGGIO III,6900.0
6,55,1,1,1,38,VILA NOVA CIDADE UNIVERSITARIA,1250.0
4,50,1,1,1,0,VILA NOVA CIDADE UNIVERSITARIA,700.0
9,341,3,2,6,47,VILA ALTO PARAISO,1700.0
9,125,3,3,-1,37,ALTO HIGIENOPOLIS,1500.0
9,42,1,1,1,35,VILA NOEMY,1000.0
9,60,3,1,1,15,VILA CARDIA,760.0
4,54,2,1,1,0,JARDIM PANORAMA,1200.0
4,66,2,1,1,0,PRACA DOUTOR LUIZ ZUIANI  VILA CARDIA,1400.0
9,38,1,1,1,25,VILA AVIACAO,1800.0
7,52,2,1,1,38,JARDIM AMERICA,700.0
4,484,4,2,4,0,JARDIM AMERICA,5500.0
9,52,2,1,1,40,JARDIM INFANTE DOM HENRIQUE,950.0
